"","X","datesnames","response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper","proj.response","proj.conterfactual","proj.conterfactual.lower","proj.conterfactual.upper"
"1",1,"2020-02-26",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"2020-02-28",0.0316355185283692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"2020-03-01",0.0586482523610599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"2020-03-03",-0.00258956696988877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"2020-03-05",-0.720294884611452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"2020-03-07",0.0777685504979218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"2020-03-09",0.0714641907543929,0.0714641907543929,0.0478487461402111,-0.0232997215790184,0.118782198226034,0.0714641907543929,0.0714641907543929,0.0714641907543929,0.0236154446141818,-0.0473180074716414,0.0947639123334113,0,0,0,0.0616702872314748,0.0616702872314748,0.0616702872314748,0.0616702872314748
"8",8,"2020-03-11",0.033119990235273,0.104584180989666,0.0347116443721375,-0.0342454852842423,0.107049149673644,0.104584180989666,0.104584180989666,0.104584180989666,-0.00159165413686446,-0.0739291594383707,0.0673654755195153,0,0,0,0.0637470071827614,0.0637470071827614,0.0637470071827614,0.0637470071827614
"9",9,"2020-03-13",-0.0210921617300763,0.0834920192595896,0.0217399818299509,-0.044158846642367,0.097728660348839,0.0834920192595896,0.0834920192595896,0.0834920192595896,-0.0428321435600272,-0.118820822078915,0.0230666849122906,0,0,0,0.0624165256878284,0.0624165256878284,0.0624165256878284,0.0624165256878284
"10",10,"2020-03-15",0.0314332712893051,0.114925290548895,0.025387502536789,-0.0435975626019303,0.10020443095938,0.114925290548895,0.114925290548895,0.114925290548895,0.00604576875251606,-0.0687711596700747,0.0750308338912354,0,0,0,0.0644096422539537,0.0644096422539537,0.0644096422539537,0.0644096422539537
"11",11,"2020-03-17",-0.138407107486249,-0.0234818169373541,0.0251039004376518,-0.048847813502029,0.104309249478607,0.140029190986546,0.0660774770468657,0.219234540027502,-0.163511007923901,-0.242716356964856,-0.0895592939842197,-0.163511007923901,-0.242716356964856,-0.0895592939842197,0.0560843181092303,0.0660470420706381,0.061338980179137,0.0714910735049628
"12",12,"2020-03-19",0.0704798063792298,0.0469979894418757,0.0253020521068958,-0.0557810030790493,0.112512743726093,0.165331243093442,0.0366593382844341,0.303767149652763,0.045177754272334,-0.0420329373468631,0.126260809458279,-0.118333253651567,-0.256769160210887,0.0103386511574416,0.0601797577178586,0.0677394886663989,0.0595607853789862,0.077797181688672
"13",13,"2020-03-21",-0.125094864675686,-0.0780968752338107,0.0253978452337557,-0.0594589398732937,0.118093856423065,0.190729088327198,0.00212299270419055,0.391886309523593,-0.150492709909442,-0.243188721098752,-0.0656359248023927,-0.268825963561009,-0.469983184757404,-0.0802198679380013,0.0531034119073986,0.0694819595545908,0.0575388889348984,0.0849637219942583
"14",14,"2020-03-23",0.0433708608772996,-0.0347260143565111,0.0256200561785283,-0.0667654900221489,0.124784523131743,0.216349144505726,-0.0366807457882154,0.485606802851935,0.0177508046987713,-0.0814136622544434,0.110136350899448,-0.251075158862237,-0.520332817208446,0.00195473143170431,0.0554572271386431,0.0712850907953278,0.0553489290349773,0.0933116399749955
"15",15,"2020-03-25",0.00198403305322481,-0.0327419813032863,0.0257331207872707,-0.0754926027030556,0.125467875267402,0.242082265292997,-0.0851005457495717,0.584554404055841,NA,NA,NA,NA,NA,NA,0.0555673653331066,0.0731432846716333,0.0527327924702976,0.1030168389532
"16",16,"2020-03-27",-0.0219618993612087,-0.054703880664495,0.0252605137095824,-0.080247908795592,0.129785360144918,0.267342779002579,-0.1354542943691,0.683962266914101,NA,NA,NA,NA,NA,NA,0.0543603036474727,0.0750144554874229,0.050143242593206,0.113783818906112
"17",17,"2020-03-29",0.176932673424837,0.122228792760342,0.0250596548672138,-0.0812018183332249,0.137404622847297,0.292402433869793,-0.190028434305265,0.794311798842147,NA,NA,NA,NA,NA,NA,0.0648817802503478,0.0769180438679932,0.0474800499369914,0.127058785159464
"18",18,"2020-03-31",-0.0765926950605311,0.0456360976998105,0.0249625670959434,-0.085663718221537,0.137685954562603,0.317365000965737,-0.23974553199018,0.905171197944135,NA,NA,NA,NA,NA,NA,0.0600978551866327,0.078862281319552,0.0451771995034789,0.141954879021641
"19",19,"2020-04-02",0.184820717581795,0.230456815281606,0.0252981217061913,-0.0912775508956204,0.147001088959013,0.342663122671928,-0.309859082224969,1.01683936394099,NA,NA,NA,NA,NA,NA,0.0722978846711099,0.0808827988000327,0.0421181588193402,0.158725678499808
"20",20,"2020-04-04",0.0124125283003496,0.242869343581955,0.0255829445641617,-0.0965727737746577,0.149103339425738,0.36824606723609,-0.363031509199144,1.13927066060827,NA,NA,NA,NA,NA,NA,0.073200876824775,0.082978714494209,0.0399371331540694,0.179398343567562
"21",21,"2020-04-06",0.0779967838092297,0.320866127391185,0.0253569131483877,-0.100005178694733,0.151893728732296,0.393602980384477,-0.433655104734167,1.26021750466111,NA,NA,NA,NA,NA,NA,0.0791388720436629,0.0851097020040029,0.0372139224645066,0.202462677406365
"22",22,"2020-04-08",-0.133888871315606,0.186977256075579,0.0253316284340052,-0.102581379187669,0.155209793795382,0.418934608818482,-0.491154524520563,1.378429995415,NA,NA,NA,NA,NA,NA,0.0692217633093759,0.0872932084784491,0.0351344992113922,0.227868350296692
